lat,loc,lon
41.3984761,"Helena, AR",-75.77203279999999
37.7749295,"Helena, AR",-122.4194155
44.9630216,"Helena, AR",-92.9649361
31.9575818,"Helena, AR",-110.955646
33.177294,"Helena, AR",-111.5468301
41.67176480000001,"Helena, AR",-72.9492703
43.4710944,"Helena, AR",-89.74429060000001
40.5142026,"Helena, AR",-88.9906312
39.2776156,"Helena, AR",-74.5746001
33.3061605,"Helena, AR",-111.8412502
40.44062479999999,"Helena, AR",-79.9958864
40.7607793,"Helena, AR",-111.8910474
39.5480789,"Helena, AR",-104.9739333
32.715738,"Helena, AR",-117.1610838
45.9805556,"Helena, AR",-94.36944439999999
39.44033599999999,"Helena, AR",-84.3621634
34.9495672,"Helena, AR",-81.9320482
35.9940329,"Helena, AR",-78.898619
30.3321838,"Helena, AR",-81.65565099999999
30.505198,"Helena, AR",-97.8202888
42.492786,"Helena, AR",-92.34257749999999
43.3465552,"Helena, AR",-73.177286
39.95276339999999,"Helena, AR",-105.1685977
26.6253497,"Helena, AR",-81.6248026
38.2526647,"Helena, AR",-85.7584557
33.6803003,"Helena, AR",-116.173894
42.1290753,"Helena, AR",-83.1445904
36.0956918,"Helena, AR",-79.43779909999999
41.2753589,"Helena, AR",-75.8501955
36.2077288,"Helena, AR",-119.3473379
36.4778428,"Helena, AR",-92.3512705
28.0341847,"Helena, AR",-82.6650992
34.483901,"Helena, AR",-114.3224548
35.4675602,"Helena, AR",-97.5164276
42.0548167,"Helena, AR",-72.7703724
40.6794072,"Helena, AR",-73.8507279
29.9012437,"Helena, AR",-81.31243409999999
40.8964465,"Helena, AR",-78.2205688
39.41539119999999,"Helena, AR",-75.9174417
38.855419,"Helena, AR",-77.0521289
48.01509799999999,"Helena, AR",-122.0637425
39.6345259,"Helena, AR",-79.9697862
44.51915899999999,"Helena, AR",-88.019826
40.2453741,"Helena, AR",-75.6496302
37.2709704,"Helena, AR",-79.9414266
30.267153,"Helena, AR",-97.7430608
40.6916132,"Helena, AR",-112.0010501
40.7607793,"Helena, AR",-111.8910474
27.950575,"Helena, AR",-82.4571776
36.1539816,"Helena, AR",-95.99277500000001
39.9525839,"Helena, AR",-75.1652215
39.5359406,"Helena, AR",-76.34829309999999
42.1200456,"Helena, AR",-85.532775
43.0389025,"Helena, AR",-87.9064736
38.9917797,"Helena, AR",-74.8148894
37.9577016,"Helena, AR",-121.2907796
41.5772115,"Helena, AR",-93.711332
33.296224,"Helena, AR",-86.8436004
45.5230622,"Helena, AR",-122.6764815
34.7137729,"Helena, AR",-77.2452328
38.2975381,"Helena, AR",-122.286865
33.4483771,"Helena, AR",-112.0740373
42.4625362,"Helena, AR",-83.1040912
39.6136578,"Helena, AR",-86.10665259999999
35.4397037,"Helena, AR",-89.81772079999999
21.3420741,"Helena, AR",-157.9642869
40.69933030000001,"Helena, AR",-99.0816784
40.3275697,"Helena, AR",-80.0394977
42.3369816,"Helena, AR",-83.27326269999999
41.3832162,"Helena, AR",-71.64187439999999
35.2270869,"Helena, AR",-80.8431267
35.4325849,"Helena, AR",-93.6154676
34.1321631,"Helena, AR",-84.30066599999999
30.4196584,"Helena, AR",-83.30042159999999
28.7030519,"Helena, AR",-81.3384011
36.6770111,"Helena, AR",-93.8688109
28.5383355,"Helena, AR",-81.3792365
41.394817,"Helena, AR",-73.4540111
44.9428975,"Helena, AR",-123.0350963
42.2917069,"Helena, AR",-85.5872286
36.1699412,"Helena, AR",-115.1398296
41.9211423,"Helena, AR",-87.8092266
46.7162136,"Helena, AR",-122.9542972
45.6318397,"Helena, AR",-122.6716063
36.595141,"Helena, AR",-82.1888089
44.8006775,"Helena, AR",-122.7945333
46.87871759999999,"Helena, AR",-113.996586
42.8564917,"Helena, AR",-85.38046949999999
36.1988592,"Helena, AR",-115.1175013
33.5206608,"Helena, AR",-86.80248999999999
42.3709299,"Helena, AR",-71.1828321
33.9533487,"Helena, AR",-117.3961564
34.1477849,"Helena, AR",-118.1445155
38.9736392,"Helena, AR",-92.74324179999999
40.5865396,"Helena, AR",-122.3916754
40.5642068,"Helena, AR",-90.2765127
41.3174524,"Helena, AR",-81.50477719999999
41.3073102,"Helena, AR",-75.3199035
39.6618814,"Helena, AR",-86.1166506
33.6890603,"Helena, AR",-78.8866943
33.7700504,"Helena, AR",-118.1937395
33.7489954,"Helena, AR",-84.3879824
38.9989499,"Helena, AR",-84.62661109999999
43.2239229,"Helena, AR",-77.1861277
43.5072317,"Helena, AR",-86.3475717
39.9508733,"Helena, AR",-86.261937
40.6668916,"Helena, AR",-111.8879909
43.0481221,"Helena, AR",-76.14742439999999
35.0853336,"Helena, AR",-106.6055534
39.2903848,"Helena, AR",-76.6121893
41.93752629999999,"Helena, AR",-96.47311409999999
29.7604267,"Helena, AR",-95.3698028
45.2309536,"Helena, AR",-122.7559267
39.7392358,"Helena, AR",-104.990251
36.3341373,"Helena, AR",-86.7119033
41.9164343,"Helena, AR",-83.3977101
42.5972563,"Helena, AR",-82.8779754
45.7832856,"Helena, AR",-108.5006904
29.5821811,"Helena, AR",-95.76078319999999
39.9611755,"Helena, AR",-82.99879419999999
28.6988853,"Helena, AR",-81.30812259999999
43.0730517,"Helena, AR",-89.4012302
26.9761707,"Helena, AR",-82.09064479999999
42.9522221,"Helena, AR",-92.5386382
47.9789848,"Helena, AR",-122.2020795
39.7294319,"Helena, AR",-104.8319195
32.8951262,"Helena, AR",-97.5458565
41.1947018,"Helena, AR",-74.49379429999999
30.1085368,"Helena, AR",-92.1245688
33.9616801,"Helena, AR",-118.3531311
21.3875264,"Helena, AR",-158.1610274
32.5594732,"Helena, AR",-116.9734685
35.1168131,"Helena, AR",-80.72368039999999
43.3058368,"Helena, AR",-100.6581944
33.9244531,"Helena, AR",-84.8413056
39.9112028,"Helena, AR",-77.5499888
37.9779776,"Helena, AR",-122.0310733
38.8048355,"Helena, AR",-77.0469214
29.6516344,"Helena, AR",-82.32482619999999
39.3342744,"Helena, AR",-76.4394056
41.3621503,"Helena, AR",-89.0418249
40.2859203,"Helena, AR",-74.348582
47.4668384,"Helena, AR",-122.3405305
34.0522342,"Helena, AR",-118.2436849
47.76095,"Helena, AR",-122.2055884
47.1853785,"Helena, AR",-122.2928974
26.5628537,"Helena, AR",-81.9495331
34.6182199,"Helena, AR",-79.0086424
37.4635519,"Helena, AR",-122.4285862
34.1867623,"Helena, AR",-85.1746725
28.0836269,"Helena, AR",-80.60810889999999
38.7309378,"Helena, AR",-90.3889622
41.4339484,"Helena, AR",-79.7064413
47.7443867,"Helena, AR",-93.6540847
40.3930973,"Helena, AR",-90.1548421
34.0194543,"Helena, AR",-118.4911912
33.6971468,"Helena, AR",-117.185294
33.7742692,"Helena, AR",-117.9379952
44.5459679,"Helena, AR",-69.6203137
41.8712103,"Helena, AR",-71.5520069
42.2625932,"Helena, AR",-71.8022934
42.3222599,"Helena, AR",-83.17631449999999
40.336419,"Helena, AR",-74.43304739999999
40.6572331,"Helena, AR",-75.4985521
39.0634129,"Helena, AR",-81.3951198
41.11774399999999,"Helena, AR",-73.4081575
34.0252164,"Helena, AR",-118.2220544
40.7091121,"Helena, AR",-112.1016088
39.2190608,"Helena, AR",-121.0610606
42.331427,"Helena, AR",-83.0457538
